Lat,Lon,City,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed
58.77,51.91,chernaya kholunitsa,ru,32.75,94.0,92.0,21.74
-2.81,22.15,lodja,cd,81.8,82.0,64.0,3.74
48.19,0.23,le mans,fr,57.85,41.0,0.0,4.7
65.81,-94.61,thompson,ca,21.2,73.0,90.0,6.93
-49.61,-104.82,castro,cl,51.8,93.0,75.0,9.17
27.94,65.81,surab,pk,71.9,28.0,0.0,8.66
5.83,-70.98,puerto rondon,co,72.26,98.0,92.0,5.64
-42.61,-21.58,arraial do cabo,br,70.68,94.0,20.0,0.6
70.84,-130.31,tuktoyaktuk,ca,20.78,86.0,80.0,11.68
38.45,163.0,severo-kurilsk,ru,29.06,99.0,64.0,17.16
-3.38,-50.43,tucurui,br,72.8,99.0,88.0,2.51
4.89,142.45,vanimo,pg,83.78,98.0,24.0,22.3
16.34,-107.66,san patricio,mx,70.73,88.0,0.0,4.41
65.43,10.78,rorvik,no,36.91,100.0,75.0,9.17
-3.73,-150.86,faanui,pf,83.6,100.0,48.0,5.19
-20.07,158.79,poum,nc,55.4,20.0,20.0,12.75
-47.79,165.33,tuatapere,nz,59.0,91.0,0.0,10.78
36.1,-60.35,saint george,bm,57.74,47.0,40.0,6.93
56.17,77.48,vengerovo,ru,35.27,96.0,92.0,12.24
-3.97,-67.35,carauari,br,75.05,94.0,80.0,2.51
58.2,146.02,okhotsk,ru,27.62,69.0,64.0,3.96
-33.64,130.61,flinders,au,55.44,58.0,0.0,24.16
-4.79,165.78,lata,sb,62.81,54.0,56.0,1.95
-15.32,-70.66,lampa,pe,60.49,87.0,20.0,4.7
-34.67,-77.82,lebu,cl,76.4,31.0,0.0,8.77
-13.39,24.91,kalengwa,zm,81.53,55.0,0.0,12.24
-17.27,-41.52,padre paraiso,br,65.33,96.0,32.0,7.31
-77.83,29.86,port elizabeth,za,49.19,81.0,20.0,6.98
19.85,29.07,marawi,sd,80.01,80.0,8.0,10.0
60.19,116.49,lensk,ru,30.95,69.0,48.0,3.29
44.33,-71.43,berlin,us,59.36,54.0,0.0,10.29
10.38,92.27,port blair,in,85.22,100.0,12.0,1.95
45.65,48.72,kirovskiy,ru,36.35,61.0,44.0,1.61
14.61,-131.43,guerrero negro,mx,57.68,94.0,88.0,12.24
62.12,-143.85,fairbanks,us,25.34,85.0,1.0,4.7
12.7,125.63,anito,ph,80.63,95.0,88.0,11.34
43.82,-110.51,jackson,us,60.93,59.0,90.0,13.87
67.8,49.52,naryan-mar,ru,32.39,100.0,92.0,6.87
53.09,104.63,ust-ordynskiy,ru,42.8,35.0,0.0,6.71
24.64,86.21,jha jha,in,95.03,86.0,0.0,6.76
-22.02,-171.54,alofi,nu,75.2,94.0,76.0,3.36
26.17,115.89,ganzhou,cn,70.82,74.0,0.0,3.62
-26.61,54.07,saint-joseph,re,61.57,39.0,0.0,5.82
19.96,-58.81,codrington,ag,73.54,83.0,36.0,10.29
48.25,-101.19,minot,us,21.11,79.0,1.0,9.17
57.87,-114.74,high level,ca,33.8,74.0,40.0,12.75
15.4,113.75,wanning,cn,56.05,57.0,0.0,3.36
62.76,87.88,turukhansk,ru,33.02,87.0,80.0,18.5
15.96,-172.41,kapaa,us,65.8,72.0,90.0,3.36
-45.16,43.91,margate,za,50.29,50.0,20.0,18.34
60.97,-49.9,paamiut,gl,30.23,96.0,88.0,19.28
-15.83,-147.57,tiarei,pf,82.18,69.0,20.0,3.36
41.91,-118.63,winnemucca,us,27.52,79.0,1.0,2.17
-39.97,-91.73,ancud,cl,51.8,100.0,75.0,9.17
19.0,-106.41,tomatlan,mx,56.42,84.0,0.0,2.06
1.18,130.76,sorong,id,75.59,100.0,76.0,4.74
25.28,-103.31,nazareno,mx,61.29,29.0,0.0,1.01
-39.06,158.53,kiama,au,54.54,58.0,0.0,24.16
72.17,86.67,dudinka,ru,32.39,98.0,88.0,20.51
62.59,116.07,suntar,ru,32.39,67.0,12.0,1.05
29.77,9.66,nalut,ly,55.88,78.0,0.0,4.97
50.59,35.7,grayvoron,ru,46.4,65.0,90.0,8.95
55.33,9.89,assens,dk,54.66,50.0,0.0,3.06
43.21,108.51,mandalgovi,mn,34.91,66.0,80.0,7.76
-75.72,126.28,new norfolk,au,50.29,50.0,20.0,18.34
-1.03,119.78,palu,id,71.63,85.0,88.0,1.72
8.89,85.63,kalmunai,lk,91.7,53.0,0.0,8.66
60.92,60.7,polunochnoye,ru,39.68,72.0,64.0,17.83
-2.31,-45.74,maracacume,br,73.79,95.0,48.0,2.73
48.26,48.34,tambovka,ru,54.17,63.0,0.0,9.44
-31.15,-79.22,valparaiso,cl,39.38,80.0,90.0,14.99
-71.26,54.51,east london,za,73.4,73.0,20.0,16.11
-13.99,33.72,lilongwe,mw,77.0,53.0,75.0,6.93
-5.57,155.58,arawa,pg,87.65,75.0,0.0,4.52
33.07,92.84,lasa,cn,60.06,72.0,75.0,3.36
-27.44,-45.11,porto belo,br,66.02,100.0,0.0,6.93
17.46,121.85,minanga,ph,69.74,88.0,56.0,1.72
0.28,99.77,payakumbuh,id,79.73,84.0,56.0,2.84
-10.24,48.3,ambilobe,mg,81.98,100.0,12.0,4.18
68.96,27.2,karasjok,no,33.8,55.0,40.0,28.86
9.71,120.28,osmena,ph,81.98,71.0,92.0,10.0
83.83,161.5,cherskiy,ru,-0.64,66.0,32.0,2.73
42.4,-88.62,harvard,us,33.35,90.0,90.0,12.75
65.24,126.54,sangar,ru,20.06,55.0,0.0,4.52
49.48,-10.88,skibbereen,ie,46.4,65.0,75.0,4.7
56.51,-12.32,westport,ie,46.44,93.0,90.0,4.7
4.09,-35.89,itarema,br,75.05,94.0,92.0,3.4
-6.54,111.28,rembang,id,84.23,93.0,0.0,8.66
-14.14,58.51,cap malheureux,mu,84.54,62.0,20.0,8.05
-6.18,-29.0,cabedelo,br,78.8,94.0,75.0,4.7
69.28,70.37,yar-sale,ru,31.85,91.0,0.0,18.28
79.14,41.4,ostrovnoy,ru,27.98,91.0,12.0,16.49
31.87,-111.32,green valley,us,41.47,100.0,90.0,11.41
14.38,117.19,cabra,ph,60.73,42.0,20.0,9.17
52.06,30.78,lyubech,ua,47.24,74.0,80.0,11.45
8.76,-16.49,bubaque,gw,80.72,91.0,76.0,19.51
36.15,-8.55,lagos,pt,87.8,79.0,75.0,3.36
62.44,61.77,agirish,ru,40.31,62.0,0.0,12.57
-19.94,146.4,charters towers,au,74.6,92.0,56.0,0.83
54.89,-89.27,sioux lookout,ca,8.6,65.0,1.0,5.82
36.69,127.94,seoul,kr,39.49,76.0,75.0,3.36
-2.68,-64.8,uarini,br,73.16,94.0,92.0,2.95
63.03,69.69,gornopravdinsk,ru,42.29,75.0,0.0,11.34
38.38,169.4,nikolskoye,ru,45.86,65.0,0.0,15.66
57.87,91.49,pirovskoye,ru,40.94,71.0,76.0,10.0
-16.32,168.51,lakatoro,vu,83.24,84.0,32.0,5.97
12.12,-84.3,nueva guinea,ni,72.8,71.0,12.0,5.08
-43.03,-47.01,rocha,uy,64.7,89.0,44.0,7.76
22.6,52.5,abu dhabi,ae,82.47,32.0,20.0,13.87
-25.08,144.13,emerald,au,80.64,66.0,20.0,3.36
54.54,-63.05,havre-saint-pierre,ca,15.8,47.0,90.0,4.7
58.69,64.92,tabory,ru,57.96,60.0,44.0,12.01
-7.01,3.6,gamba,ga,31.22,94.0,24.0,5.64
38.27,58.16,buzmeyin,tm,64.4,59.0,90.0,4.7
89.15,25.95,longyearbyen,sj,19.4,62.0,20.0,17.22
11.69,45.93,aden,ye,80.45,96.0,0.0,11.34
-4.18,114.73,martapura,id,78.8,83.0,40.0,2.24
2.71,77.95,galle,lk,63.27,100.0,90.0,11.41
20.36,12.17,bilma,ne,84.95,25.0,0.0,19.06
-30.61,-42.25,imbituba,br,68.0,88.0,0.0,5.82
68.89,-9.25,vestmanna,fo,37.4,69.0,80.0,18.34
20.72,-40.57,ponta do sol,cv,63.35,86.0,12.0,7.54
20.3,-96.07,vega de alatorre,mx,59.48,93.0,12.0,3.62
57.42,-101.59,flin flon,ca,19.79,69.0,48.0,2.73
16.72,-6.33,nara,ml,54.45,93.0,75.0,4.7
23.35,-91.85,celestun,mx,76.22,97.0,0.0,19.51
16.64,-21.31,santa maria,cv,64.4,100.0,0.0,2.24
53.56,90.27,sorsk,ru,42.83,87.0,12.0,3.4
59.45,-139.16,haines junction,ca,25.55,86.0,48.0,1.95
-4.58,12.07,loandjili,cg,87.8,62.0,20.0,8.05
-18.81,-154.7,vaitape,pf,84.14,99.0,0.0,6.98
2.45,27.21,isiro,cd,90.89,50.0,0.0,2.95
11.1,4.41,jega,ng,96.29,24.0,0.0,5.97
-16.18,-37.44,belmonte,br,63.54,37.0,0.0,3.0
33.65,-69.13,hamilton,bm,35.33,100.0,90.0,18.34
3.57,149.41,lorengau,pg,82.88,98.0,92.0,9.22
57.37,175.28,beringovskiy,ru,31.85,92.0,88.0,10.78
69.16,66.69,kharp,ru,27.26,90.0,32.0,7.65
-52.34,-39.79,mar del plata,ar,52.1,74.0,0.0,10.22
60.93,-134.63,whitehorse,ca,35.6,74.0,75.0,4.7
6.48,90.19,sabang,id,82.43,74.0,20.0,8.99
75.92,21.18,oksfjord,no,34.18,55.0,40.0,28.86
-15.63,171.33,vila,vu,61.18,48.0,0.0,3.36
-32.1,145.73,griffith,au,56.84,41.0,40.0,12.75
76.4,-169.84,lavrentiya,ru,33.2,94.0,92.0,23.53
-24.49,162.94,poya,nc,81.44,90.0,68.0,10.33
26.44,-23.5,los llanos de aridane,es,61.84,63.0,40.0,3.36
58.51,-55.88,nuuk,gl,21.09,92.0,90.0,4.7
61.56,105.79,yerbogachen,ru,34.46,54.0,0.0,4.41
3.19,22.15,bumba,cd,84.23,72.0,0.0,5.3
26.86,-7.04,tiznit,ma,61.55,90.0,56.0,5.64
-18.82,-31.05,caravelas,br,79.64,100.0,92.0,13.02
58.23,0.75,peterhead,gb,57.24,72.0,75.0,18.34
65.42,-103.98,la ronge,ca,21.2,79.0,75.0,2.24
69.92,0.09,raudeberg,no,39.7,86.0,92.0,14.99
52.88,113.59,smolenka,ru,54.93,99.0,24.0,14.81
7.35,37.6,areka,et,77.75,50.0,0.0,3.74
48.87,10.11,aalen,de,59.36,48.0,0.0,1.12
82.53,177.88,leningradskiy,ru,10.07,81.0,88.0,10.22
-21.21,11.07,henties bay,na,73.0,72.0,68.0,5.99
-33.82,41.84,beloha,mg,85.63,43.0,0.0,16.13
-5.9,-33.14,nisia floresta,br,77.86,88.0,75.0,3.36
4.86,-81.48,la palma,pa,66.91,100.0,76.0,0.81
-9.34,-52.46,sao felix do xingu,br,73.84,100.0,92.0,1.81
-22.13,45.0,beroroha,mg,85.81,70.0,20.0,4.83
61.96,147.4,kholodnyy,ru,-3.75,57.0,0.0,4.16
-20.24,-37.51,linhares,br,77.8,75.0,56.0,13.22
13.8,58.66,salalah,om,84.2,66.0,0.0,10.29
56.62,-35.17,tasiilaq,gl,21.2,67.0,64.0,5.82
-15.39,139.34,alyangula,au,84.2,74.0,90.0,2.24
39.38,4.42,mahon,es,46.4,65.0,75.0,4.7
25.05,-17.5,arona,es,61.74,46.0,0.0,3.36
-23.14,-48.76,itatinga,br,69.7,75.0,8.0,9.19
34.8,111.22,sanmenxia,cn,48.82,27.0,68.0,4.38
-23.68,-39.12,sao joao da barra,br,71.6,94.0,75.0,4.7
-29.04,114.09,geraldton,au,12.2,72.0,90.0,11.41
15.58,117.69,aloleng,ph,82.48,84.0,8.0,7.07
38.43,9.12,capoterra,it,59.81,62.0,0.0,9.17
-9.47,-74.92,campoverde,pe,61.61,62.0,5.0,8.05
-13.69,38.65,montepuez,mz,83.29,78.0,0.0,9.75
23.73,99.63,simao,cn,70.78,39.0,0.0,3.6
30.37,94.12,along,in,70.42,52.0,76.0,1.25
46.92,69.76,zhezkazgan,kz,51.8,62.0,75.0,6.71
-27.57,21.79,upington,za,89.6,11.0,0.0,2.24
8.02,-84.9,quepos,cr,66.29,73.0,0.0,12.75
24.67,119.03,luoyang,cn,51.16,21.0,56.0,6.85
69.68,54.62,iskateley,ru,32.62,99.0,92.0,11.54
45.59,164.73,petropavlovsk-kamchatskiy,ru,30.2,68.0,80.0,8.95
43.16,49.46,fort-shevchenko,kz,44.59,89.0,76.0,7.18
2.91,-5.19,sassandra,ci,79.78,100.0,68.0,7.52
13.79,65.52,kavaratti,in,84.01,100.0,0.0,10.2
-40.31,132.8,port lincoln,au,63.4,90.0,92.0,17.36
17.64,98.36,mae ramat,th,95.0,28.0,20.0,11.41
5.97,-74.95,san luis,co,63.13,80.0,20.0,6.17
7.88,111.78,miri,my,99.04,19.0,0.0,7.18
29.84,-41.89,ribeira grande,pt,59.0,93.0,75.0,6.93
47.11,28.22,nisporeni,md,56.59,50.0,75.0,11.41
22.53,116.97,haimen,cn,56.61,51.0,32.0,3.0
-27.89,16.53,oranjemund,na,61.33,90.0,76.0,8.41
26.22,-153.11,kahului,us,65.91,93.0,1.0,5.82
40.55,105.43,shitanjing,cn,30.55,26.0,12.0,3.15
53.78,-94.29,lac du bonnet,ca,18.0,77.0,0.0,5.17
39.51,31.43,emirdag,tr,39.82,74.0,24.0,11.99
47.95,4.7,chaumont,fr,61.43,38.0,0.0,3.36
49.46,-178.58,provideniya,ru,33.97,91.0,92.0,21.72
6.07,45.12,xuddur,so,97.42,20.0,0.0,13.56
58.49,52.68,glazov,ru,33.61,93.0,88.0,22.75
-44.31,168.98,wanaka,nz,43.6,85.0,0.0,2.59
8.28,74.66,kollam,in,93.2,59.0,20.0,9.17
40.89,-29.29,lagoa,pt,66.11,52.0,0.0,13.87
-13.01,-25.41,sao jose da coroa grande,br,80.59,99.0,92.0,4.94
2.31,-84.34,muisne,ec,72.13,93.0,76.0,2.71
3.66,90.68,banda aceh,id,79.33,92.0,48.0,3.38
10.14,-89.05,corinto,ni,76.0,72.0,20.0,5.17
57.26,-127.55,smithers,ca,30.2,80.0,1.0,2.24
41.79,65.62,nurota,uz,66.2,32.0,40.0,9.17
50.69,93.43,khovu-aksy,ru,34.42,49.0,24.0,1.92
-4.05,90.18,meulaboh,id,82.12,100.0,24.0,1.59
21.22,105.2,viet tri,vn,86.0,62.0,20.0,14.99
17.91,131.49,gigmoto,ph,76.81,100.0,0.0,7.29
20.57,-42.96,bathsheba,bb,78.8,78.0,40.0,16.11
37.6,51.75,chalus,ir,57.2,82.0,75.0,4.7
71.46,1.39,roald,no,37.94,80.0,75.0,23.04
-38.06,149.3,lakes entrance,au,48.99,85.0,24.0,1.99
48.27,152.26,vostok,ru,20.65,87.0,48.0,0.58
-9.8,-45.84,gilbues,br,76.0,76.0,44.0,3.6
-38.67,-44.65,rio grande,br,69.38,94.0,8.0,9.44
28.85,80.87,dhangadhi,np,78.34,54.0,64.0,9.64
7.93,-1.1,ejura,gh,91.3,76.0,8.0,8.97
21.08,-102.74,zapote,mx,75.2,88.0,75.0,2.24
13.45,32.79,rabak,sd,99.31,21.0,0.0,6.4
42.63,-72.5,greenfield,us,40.93,87.0,90.0,3.36
-31.43,114.64,perth,au,48.34,81.0,75.0,8.05
77.69,25.41,havoysund,no,32.0,98.0,75.0,46.08
31.31,-118.53,rosarito,mx,64.4,100.0,20.0,5.82
-31.76,20.75,calvinia,za,78.8,26.0,0.0,6.93
27.71,95.06,chabua,in,89.6,38.0,40.0,4.7
26.03,150.67,katsuura,jp,54.66,93.0,75.0,6.93
34.44,-122.3,morro bay,us,48.09,66.0,1.0,11.41
67.4,133.19,verkhoyansk,ru,-3.39,61.0,0.0,2.37
-5.13,145.74,madang,pg,77.35,100.0,80.0,3.94
-13.93,-65.57,san ramon,bo,61.0,91.0,0.0,1.99
21.1,-117.53,constitucion,mx,57.0,32.0,0.0,8.99
34.01,-118.77,malibu,us,53.74,87.0,1.0,4.38
41.67,15.89,manfredonia,it,56.8,51.0,0.0,18.34
22.98,65.2,ormara,pk,82.84,56.0,0.0,16.8
54.24,-30.45,grindavik,is,28.4,79.0,75.0,12.75
-25.84,-72.45,taltal,cl,56.47,92.0,76.0,1.48
50.51,8.67,langgons,de,59.18,58.0,1.0,7.18
29.6,-115.1,san quintin,mx,76.99,62.0,0.0,2.82
8.83,49.46,eyl,so,84.82,76.0,0.0,11.65
37.52,-67.73,nantucket,us,39.02,100.0,1.0,3.15
15.47,-103.83,lazaro cardenas,mx,61.52,22.0,24.0,4.0
7.55,-60.94,mabaruma,gy,79.42,84.0,92.0,7.74
-21.38,-65.78,tupiza,bo,41.8,83.0,20.0,2.37
65.77,-15.19,hofn,is,27.94,100.0,0.0,6.85
59.15,132.73,amga,ru,6.34,77.0,0.0,3.71
-43.94,177.24,waipawa,nz,57.99,88.0,32.0,3.94
-15.68,6.05,namibe,ao,80.59,95.0,32.0,5.95
-15.27,71.47,quatre cocos,mu,84.38,62.0,20.0,8.05
29.84,133.87,nichinan,jp,61.16,42.0,20.0,13.87
45.4,13.07,caorle,it,63.12,51.0,0.0,6.93
12.64,-69.57,oranjestad,aw,78.8,88.0,20.0,9.17
-0.54,-57.06,terra santa,br,78.79,90.0,92.0,2.93
21.1,56.02,nizwa,om,93.55,20.0,0.0,6.17
20.24,82.59,kharhial,in,104.3,22.0,0.0,4.63
40.06,-92.43,kirksville,us,37.4,97.0,90.0,18.34
25.96,-17.94,adeje,es,91.48,76.0,24.0,8.41
57.0,116.19,taksimo,ru,20.29,61.0,76.0,2.37
-1.85,94.17,sibolga,id,75.95,89.0,80.0,2.51
41.88,-13.92,muros,es,58.19,41.0,0.0,5.82
68.17,32.78,monchegorsk,ru,30.19,72.0,24.0,9.19
45.17,-100.58,pierre,us,27.64,74.0,75.0,9.17
47.62,-76.41,senneterre,ca,21.2,53.0,75.0,5.82
43.38,116.05,zhangjiakou,cn,25.96,60.0,36.0,9.19
39.99,-21.29,vila franca do campo,pt,56.91,77.0,20.0,8.05
-15.97,-48.92,pirenopolis,br,62.6,93.0,0.0,5.82
-0.55,20.74,boende,cd,78.52,89.0,56.0,3.6
3.55,115.88,sembakung,id,84.2,74.0,40.0,9.17
-3.12,36.45,monduli,tz,81.58,69.0,32.0,4.38
15.33,45.17,sayyan,ye,78.97,24.0,76.0,3.71
34.68,12.4,jabinyanah,tn,64.4,45.0,20.0,3.36
4.84,-53.23,sinnamary,gf,80.77,92.0,88.0,12.77
28.31,139.96,shimoda,jp,52.63,100.0,75.0,4.7
30.13,-15.92,santa cruz de tenerife,es,63.27,67.0,0.0,11.41
-1.25,-3.59,axim,gh,82.48,100.0,68.0,13.78
59.59,-62.34,pangnirtung,ca,17.6,67.0,90.0,24.16
17.84,151.41,airai,pw,72.4,87.0,76.0,1.81
74.35,-146.9,college,us,25.18,85.0,1.0,4.7
29.95,-28.23,ponta delgada,pt,56.8,77.0,20.0,8.05
-6.85,132.91,tual,id,82.48,100.0,92.0,11.77
-15.36,51.57,antalaha,mg,82.66,92.0,56.0,6.06
54.34,-78.45,moose factory,ca,12.2,78.0,90.0,9.17
